epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,148.038,1.37378,2.32843,1.35066,0.65462,0.22307,0.29703,0.1567,1.48757,3.00729,1.49566,0.000651515,0.000651515,0.000651515
2,294.556,1.66929,2.15641,1.58538,0.47768,0.10013,0.15708,0.07572,1.92685,3.05436,2.02717,0.00118768,0.00118768,0.00118768
3,440.806,1.78365,2.21175,1.69352,0.36172,0.22307,0.19862,0.08456,2.03575,2.81556,2.08274,0.00159185,0.00159185,0.00159185
4,588.101,1.81566,2.19149,1.7375,0.32544,0.36505,0.2587,0.10736,1.95877,2.61529,2.03788,0.001406,0.001406,0.001406
5,734.152,1.78329,2.14834,1.71933,0.47822,0.31939,0.32854,0.15238,1.90546,2.36581,1.91321,0.001208,0.001208,0.001208
6,881.299,1.74245,1.9793,1.68848,0.43841,0.39924,0.35647,0.16142,1.77612,2.36184,1.79117,0.00101,0.00101,0.00101
7,1028.12,1.65418,1.87012,1.61367,0.53172,0.38713,0.39715,0.19454,1.77315,2.05058,1.75975,0.000812,0.000812,0.000812
8,1176.54,1.61109,1.77853,1.58421,0.57039,0.42712,0.45376,0.23523,1.68781,1.86632,1.65625,0.000614,0.000614,0.000614
9,1324.86,1.49443,1.65042,1.50347,0.59358,0.46515,0.47856,0.26558,1.58723,1.79665,1.57489,0.000416,0.000416,0.000416
10,1471.94,1.4834,1.57488,1.48847,0.63862,0.4943,0.53798,0.29705,1.51841,1.63688,1.52717,0.000218,0.000218,0.000218
